model,image,width,height,pixels,gray_ms,blur_ms,sobel_ms,unsharp_ms,total_ms,threads,processes
sequential,cat_portrait.bmp,1600,1067,1707200,3.000,47.000,25.000,60.000,135.000,1,1
sequential,satellite.bmp,4928,3280,16163840,26.000,456.000,207.000,620.000,1309.000,1,1
sequential,texture.bmp,3589,5384,19323176,36.000,616.000,215.000,751.000,1618.000,1,1
sequential,cityscape.bmp,5472,3648,19961856,31.000,544.000,234.000,708.000,1517.000,1,1
sequential,architecture.bmp,6000,4000,24000000,38.000,674.000,277.000,837.000,1826.000,1,1
sequential,synthetic_noise.bmp,6000,4000,24000000,35.000,619.000,259.000,1085.000,1998.000,1,1
openmp,cat_portrait.bmp,1600,1067,1707200,2.000,12.000,6.000,15.000,35.000,8,1
openmp,satellite.bmp,4928,3280,16163840,6.000,118.000,46.000,143.000,313.000,8,1
openmp,texture.bmp,3589,5384,19323176,8.000,136.000,52.000,205.000,401.000,8,1
openmp,cityscape.bmp,5472,3648,19961856,9.000,159.000,63.000,189.000,420.000,8,1
openmp,architecture.bmp,6000,4000,24000000,10.000,188.000,71.000,225.000,494.000,8,1
openmp,synthetic_noise.bmp,6000,4000,24000000,9.000,190.000,74.000,264.000,537.000,8,1
cuda,cat_portrait.bmp,1600,1067,1707200,2.122,5.592,2.944,6.095,16.753,1,1
cuda,satellite.bmp,4928,3280,16163840,11.470,34.067,17.609,39.366,102.513,1,1
cuda,texture.bmp,3589,5384,19323176,13.374,44.577,21.161,50.691,129.802,1,1
cuda,cityscape.bmp,5472,3648,19961856,17.420,40.985,21.244,47.823,127.473,1,1
cuda,architecture.bmp,6000,4000,24000000,16.710,50.187,24.293,59.221,150.411,1,1
cuda,synthetic_noise.bmp,6000,4000,24000000,18.221,54.205,23.438,57.354,153.218,1,1
